Year,Month,MonthN,Dem
1986,Jan,1,14346
1986,Feb,2,18334
1986,Mar,3,22487
1986,Apr,4,26155
1986,May,5,28767
1986,Jun,6,30000
1986,Jul,7,29904
1986,Aug,8,28919
1986,Sep,9,27787
1986,Oct,10,27365
1986,Nov,11,28389
1986,Dec,12,31245
1987,Jan,1,35826
1987,Feb,2,41511
1987,Mar,3,47296
1987,Apr,4,52052
1987,May,5,54837
1987,Jun,6,55189
1987,Jul,7,53309
1987,Aug,8,50068
1987,Sep,9,46818
1987,Oct,10,45047
1987,Nov,11,45957
1987,Dec,12,50090
1988,Jan,1,57103
1988,Feb,2,65781
1988,Mar,3,74306
1988,Apr,4,80726
1988,May,5,83508
1988,Jun,6,82028
1988,Jul,7,76841
1988,Aug,8,69634
1988,Sep,9,62849
1988,Oct,10,59044
1988,Nov,11,60161
1988,Dec,12,66902
1989,Jan,1,78400
1989,Feb,2,82600
1989,Mar,3,92400
1989,Apr,4,90300
1989,May,5,84700
1989,Jun,6,94500
1989,Jul,7,103600
1989,Aug,8,103600
1989,Sep,9,95200
1989,Oct,10,83300
1989,Nov,11,72800
1989,Dec,12,82600
1990,Jan,1,80500
1990,Feb,2,88200
1990,Mar,3,98700
1990,Apr,4,94500
1990,May,5,87500
1990,Jun,6,104300
1990,Jul,7,119000
1990,Aug,8,119000
1990,Sep,9,110600
1990,Oct,10,93100
1990,Nov,11,79800
1991,Dec,12,98000
1991,Jan,1,80500
1991,Feb,2,88200
1991,Mar,3,98700
1991,Apr,4,94500
1991,May,5,87500
1991,Jun,6,104300
1991,Jul,7,119000
1991,Aug,8,119000
1991,Sep,9,110600
1991,Oct,10,93100
1991,Nov,11,79800
1991,Dec,12,98000
1992,Jan,1,119700
1992,Feb,2,126000
1992,Mar,3,135100
1992,Apr,4,126700
1992,May,5,128100
1992,Jun,6,152600
1992,Jul,7,161000
1992,Aug,8,169400
1992,Sep,9,146300
1992,Oct,10,133700
1992,Nov,11,120400
1992,Dec,12,135800
1993,Jan,1,137200
1993,Feb,2,137200
1993,Mar,3,165200
1993,Apr,4,164500
1993,May,5,160300
1993,Jun,6,170100
1993,Jul,7,184800
1993,Aug,8,190400
1993,Sep,9,165900
1993,Oct,10,147700
1993,Nov,11,126000
1993,Dec,12,140700
1994,Jan,1,142800
1994,Feb,2,131600
1994,Mar,3,164500
1994,Apr,4,158900
1994,May,5,163800
1994,Jun,6,184800
1994,Jul,7,211400
1994,Aug,8,205100
1994,Sep,9,181300
1994,Oct,10,160300
1994,Nov,11,142100
1994,Dec,12,160300
1995,Jan,1,169400
1995,Feb,2,163100
1995,Mar,3,186900
1995,Apr,4,188300
1995,May,5,189000
1995,Jun,6,220500
1995,Jul,7,254800
1995,Aug,8,242900
1995,Sep,9,218400
1995,Oct,10,191800
1995,Nov,11,165900
1995,Dec,12,194600
1996,Jan,1,198800
1996,Feb,2,193900
1996,Mar,3,221900
1996,Apr,4,219100
1996,May,5,222600
1996,Jun,6,261800
1996,Jul,7,289100
1996,Aug,8,283500
1996,Sep,9,248500
1996,Oct,10,214200
1996,Nov,11,189700
1996,Dec,12,214200
1997,Jan,1,220500
1997,Feb,2,210700
1997,Mar,3,249200
1997,Apr,4,243600
1997,May,5,248500
1997,Jun,6,295400
1997,Jul,7,325500
1997,Aug,8,326900
1997,Sep,9,282800
1997,Oct,10,242900
1997,Nov,11,213500
1997,Dec,12,235200
1998,Jan,1,238000
1998,Feb,2,222600
1998,Mar,3,253400
1998,Apr,4,243600
1998,May,5,254100
1998,Jun,6,304500
1998,Jul,7,343700
1998,Aug,8,353500
1998,Sep,9,282800
1998,Oct,10,251300
1998,Nov,11,217000
1998,Dec,12,235900
1999,Jan,1,252000
1999,Feb,2,239400
1999,Mar,3,284200
1999,Apr,4,277200
1999,May,5,294000
1999,Jun,6,330400
1999,Jul,7,383600
1999,Aug,8,391300
1999,Sep,9,324100
1999,Oct,10,284900
1999,Nov,11,253400
1999,Dec,12,283500
2000,Jan,1,291900
2000,Feb,2,273700
2000,Mar,3,293300
2000,Apr,4,322700
2000,May,5,330400
2000,Jun,6,374500
2000,Jul,7,435400
2000,Aug,8,424200
2000,Sep,9,355600
2000,Oct,10,322700
2000,Nov,11,273000
2000,Dec,12,302400
2001,Jan,1,311944
2001,Feb,2,294277
2001,Mar,3,314439
2001,Apr,4,344288
2001,May,5,352376
2001,Jun,6,396804
2001,Jul,7,457982
2001,Aug,8,447018
2001,Sep,9,378619
2001,Oct,10,345889
2001,Nov,11,296333
2001,Dec,12,325855
2002,Jan,1,335504
2002,Feb,2,317924
2002,Mar,3,338161
2002,Apr,4,368074
2002,May,5,376215
2002,Jun,6,420689
2002,Jul,7,481906
2002,Aug,8,470975
2002,Sep,9,402603
2002,Oct,10,369897
2002,Nov,11,320361
2002,Dec,12,349901
2003,Jan,1,359563
2003,Feb,2,341996
2003,Mar,3,362243
2003,Apr,4,392165
2003,May,5,400314
2003,Jun,6,444794
2003,Jul,7,506017
2003,Aug,8,495090
2003,Sep,9,426722
2003,Oct,10,394019
2003,Nov,11,344487
2003,Dec,12,374028
2004,Jan,1,383693
2004,Feb,2,366127
2004,Mar,3,386376
2004,Apr,4,416299
2004,May,5,424449
2004,Jun,6,468930
2004,Jul,7,530153
2004,Aug,8,519228
2004,Sep,9,450860
2004,Oct,10,418158
2004,Nov,11,368625
2004,Dec,12,398167
2005,Jan,1,407832
2005,Feb,2,390267
2005,Mar,3,410516
2005,Apr,4,440439
2005,May,5,448590
2005,Jun,6,493070
2005,Jul,7,554294
2005,Aug,8,543368
2005,Sep,9,475001
2005,Oct,10,442298
2005,Nov,11,392766
2005,Dec,12,422308
2006,Jan,1,431973
2006,Feb,2,414408
2006,Mar,3,434657
2006,Apr,4,464580
2006,May,5,472730
2006,Jun,6,517211
2006,Jul,7,578435
2006,Aug,8,567509
2006,Sep,9,499142
2006,Oct,10,466439
2006,Nov,11,416907
2006,Dec,12,446449
2007,Jan,1,456114
2007,Feb,2,438549
2007,Mar,3,458798
2007,Apr,4,488721
2007,May,5,496871
2007,Jun,6,541352
2007,Jul,7,602575
2007,Aug,8,591650
2007,Sep,9,523283
2007,Oct,10,490580
2007,Nov,11,441048
2007,Dec,12,470590
2008,Jan,1,480255
2008,Feb,2,462689
2008,Mar,3,482939
2008,Apr,4,512862
2008,May,5,521012
2008,Jun,6,565493
2008,Jul,7,626716
2008,Aug,8,615791
2008,Sep,9,547423
2008,Oct,10,514721
2008,Nov,11,465189
2008,Dec,12,494731
2009,Jan,1,504396
2009,Feb,2,486830
2009,Mar,3,507080
2009,Apr,4,537002
2009,May,5,545153
2009,Jun,6,589634
2009,Jul,7,650857
2009,Aug,8,639932
2009,Sep,9,571564
2009,Oct,10,538862
2009,Nov,11,489329
2009,Dec,12,518872
2010,Jan,1,528537
2010,Feb,2,510971
2010,Mar,3,531220
2010,Apr,4,561143
2010,May,5,569294
2010,Jun,6,613775
2010,Jul,7,674998
2010,Aug,8,664073
2010,Sep,9,595705
2010,Oct,10,563003
2010,Nov,11,513470
2010,Dec,12,543013
